2026-08-04 09:57:49 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:57:49 | mode=paper ──
2026-08-04 09:58:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:58:20 | mode=paper ──
2026-08-04 09:58:20 | INFO     | TradingBot.StrategyRunner | 📶 Signal: [supertrend] BUY TCS @ 3964.47 | SL=3935.87 | TGT=4021.67 | R:R=2.0
2026-08-04 09:58:20 | INFO     | TradingBot.RiskManager | Position size | TCS | qty=5 | risk=₹1500.00 | risk/share=28.60
2026-08-04 09:58:20 | INFO     | TradingBot.OrderManager | → Placing BUY order | TCS x5 @ 3964.47 | SL=3935.87 | TGT=4021.67
2026-08-04 09:58:20 | INFO     | TradingBot.KiteClient | [PAPER] MARKET ORDER → BUY TCS x5 on NSE
2026-08-04 09:58:20 | INFO     | TradingBot.KiteClient | Paper order placed. id=PAPER_TCS_1785817700
2026-08-04 09:58:20 | INFO     | TradingBot.TradeJournal | ENTRY logged | BUY TCS x5 @ 3964.47 | id=2
2026-08-04 09:58:20 | INFO     | TradingBot.OrderManager | ✓ Trade opened | id=2 | BUY TCS x5
2026-08-04 09:58:20 | INFO     | TradingBot.StrategyRunner | 📶 Signal: [ema_crossover] SELL TATAMOTORS @ 1030.73 | SL=1042.67 | TGT=1006.84 | R:R=2.0
2026-08-04 09:58:20 | INFO     | TradingBot.RiskManager | Position size | TATAMOTORS | qty=19 | risk=₹1500.00 | risk/share=11.94
2026-08-04 09:58:20 | INFO     | TradingBot.OrderManager | → Placing SELL order | TATAMOTORS x19 @ 1030.73 | SL=1042.67 | TGT=1006.84
2026-08-04 09:58:20 | INFO     | TradingBot.KiteClient | [PAPER] MARKET ORDER → SELL TATAMOTORS x19 on NSE
2026-08-04 09:58:20 | INFO     | TradingBot.KiteClient | Paper order placed. id=PAPER_TATAMOTORS_1785817700
2026-08-04 09:58:20 | INFO     | TradingBot.TradeJournal | ENTRY logged | SELL TATAMOTORS x19 @ 1030.73 | id=3
2026-08-04 09:58:20 | INFO     | TradingBot.OrderManager | ✓ Trade opened | id=3 | SELL TATAMOTORS x19
2026-08-04 09:58:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:58:50 | mode=paper ──
2026-08-04 09:58:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 09:59:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:59:20 | mode=paper ──
2026-08-04 09:59:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 09:59:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:59:50 | mode=paper ──
2026-08-04 09:59:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 09:59:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:59:51 | mode=paper ──
2026-08-04 09:59:51 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:00:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:00:20 | mode=paper ──
2026-08-04 10:00:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:00:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:00:50 | mode=paper ──
2026-08-04 10:00:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:01:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:01:20 | mode=paper ──
2026-08-04 10:01:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:01:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:01:50 | mode=paper ──
2026-08-04 10:01:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:02:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:02:20 | mode=paper ──
2026-08-04 10:02:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:02:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:02:50 | mode=paper ──
2026-08-04 10:02:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:03:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:03:20 | mode=paper ──
2026-08-04 10:03:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:03:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:03:50 | mode=paper ──
2026-08-04 10:03:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:04:04 | WARNING  | TradingBot.StrategyRunner | Runner already running.
2026-08-04 10:04:04 | INFO     | TradingBot.Dashboard | Bot started via dashboard
2026-08-04 10:04:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:04:20 | mode=paper ──
2026-08-04 10:04:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:04:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:04:50 | mode=paper ──
2026-08-04 10:04:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:04:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:04:51 | mode=paper ──
2026-08-04 10:04:51 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:05:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:05:20 | mode=paper ──
2026-08-04 10:05:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:05:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:05:50 | mode=paper ──
2026-08-04 10:05:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:06:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:06:20 | mode=paper ──
2026-08-04 10:06:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:06:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:06:50 | mode=paper ──
2026-08-04 10:06:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:07:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:07:20 | mode=paper ──
2026-08-04 10:07:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:07:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:07:50 | mode=paper ──
2026-08-04 10:07:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:08:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:08:20 | mode=paper ──
2026-08-04 10:08:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:08:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:08:50 | mode=paper ──
2026-08-04 10:08:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:09:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:09:20 | mode=paper ──
2026-08-04 10:09:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:09:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:09:50 | mode=paper ──
2026-08-04 10:09:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:09:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:09:51 | mode=paper ──
2026-08-04 10:09:51 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:10:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:10:20 | mode=paper ──
2026-08-04 10:10:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:10:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:10:50 | mode=paper ──
2026-08-04 10:10:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:11:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:11:20 | mode=paper ──
2026-08-04 10:11:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:11:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:11:50 | mode=paper ──
2026-08-04 10:11:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:12:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:12:20 | mode=paper ──
2026-08-04 10:12:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:12:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:12:50 | mode=paper ──
2026-08-04 10:12:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:13:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:13:20 | mode=paper ──
2026-08-04 10:13:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:13:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:13:50 | mode=paper ──
2026-08-04 10:13:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:14:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:14:20 | mode=paper ──
2026-08-04 10:14:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:14:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:14:50 | mode=paper ──
2026-08-04 10:14:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:14:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:14:51 | mode=paper ──
2026-08-04 10:14:51 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:15:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:15:20 | mode=paper ──
2026-08-04 10:15:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:15:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:15:50 | mode=paper ──
2026-08-04 10:15:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:16:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:16:20 | mode=paper ──
2026-08-04 10:16:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:16:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:16:50 | mode=paper ──
2026-08-04 10:16:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:17:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:17:20 | mode=paper ──
2026-08-04 10:17:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:17:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:17:50 | mode=paper ──
2026-08-04 10:17:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:18:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:18:20 | mode=paper ──
2026-08-04 10:18:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:18:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:18:50 | mode=paper ──
2026-08-04 10:18:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:19:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:19:20 | mode=paper ──
2026-08-04 10:19:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:19:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:19:50 | mode=paper ──
2026-08-04 10:19:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:19:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:19:51 | mode=paper ──
2026-08-04 10:19:51 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:20:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:20:20 | mode=paper ──
2026-08-04 10:20:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:20:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:20:50 | mode=paper ──
2026-08-04 10:20:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:21:20 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:21:20 | mode=paper ──
2026-08-04 10:21:20 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
2026-08-04 10:21:50 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 10:21:50 | mode=paper ──
2026-08-04 10:21:50 | INFO     | TradingBot.StrategyRunner | New entry blocked: Max open positions (3) reached
